animal phen patch
1 10.245 P18
2 9.785 P12
3 13.386 P25
4 10.571 P18
5 8.278 P5
6 8.444 P23
7 10.992 P18
8 7.53 P17
9 9.896 P7
10 8.187 P9
11 11.799 P21
12 12.244 P30
13 11.476 P21
14 12.368 P25
15 11.045 P23
16 11.749 P23
17 9.849 P4
18 12.26 P19
19 12.141 P7
20 7.588 P9
21 6.133 P6
22 10.534 P16
23 8.051 P9
24 8.7 P25
25 11.483 P1
26 9.741 P10
27 12.042 P25
28 7.725 P5
29 6.994 P27
30 9.99 P4
31 10.877 P5
32 7.339 P2
33 10.356 P16
34 7.947 P9
35 9.208 P13
36 13.767 P16
37 9.54 P26
38 11.5 P5
39 13.665 P1
40 10.32 P25
41 8.988 P20
42 13.202 P4
43 10.842 P11
44 11.752 P21
45 6.057 P22
46 9.92 P27
47 10.673 P9
48 9.143 P1
49 10.561 P17
50 7.955 P1
51 11.242 P7
52 9.614 P7
53 11.557 P1
54 11.607 P20
55 8.53 P9
56 9.738 P29
57 6.281 P11
58 8.244 P4
59 6.265 P5
60 8.1 P8
61 13.071 P8
62 13.802 P20
63 10.676 P18
64 12.49 P1
65 9.47 P8
66 9.004 P10
67 11.145 P30
68 12.393 P21
69 9.689 P2
70 12.92 P26
71 11.465 P19
72 15.863 P28
73 11.282 P22
74 9.276 P8
75 5.177 P2
76 8.611 P5
77 6.96 P24
78 13.697 P24
79 10.535 P21
80 8.982 P5
81 9.872 P1
82 10.675 P25
83 8.677 P10
84 10.863 P25
85 10.934 P7
86 12.103 P3
87 12.807 P8
88 10.331 P20
89 11.583 P23
90 11.312 P30
91 12.677 P13
92 7.777 P15
93 10.016 P26
94 11.148 P18
95 9.51 P14
96 10.041 P20
97 9.695 P1
98 11.079 P4
99 9.869 P27
100 8.98 P15
101 11.56 P18
102 6.698 P10
103 9.213 P13
104 12.775 P25
105 12.53 P8
106 12.1 P30
107 9.251 P29
108 11.34 P22
109 11.684 P24
110 8.683 P16
111 8.275 P9
112 10.517 P4
113 10.746 P21
114 7.604 P6
115 12.313 P14
116 7.787 P23
117 11.647 P29
118 12.895 P1
119 11.27 P29
120 7.169 P8
121 8.977 P26
122 11.654 P4
123 9.708 P22
